,Feature
0,ACC
1,ALL
2,BLCA
3,BRCA
4,CESC
5,CLL
6,COREAD
7,DLBC
8,ESCA
9,GBM
10,HNSC
11,KIRC
12,LAML
13,LCML
14,LGG
15,LIHC
16,LUAD
17,LUSC
18,MB
19,MESO
20,MM
21,NB
22,OV
23,PAAD
24,PRAD
25,SCLC
26,SKCM
27,STAD
28,THCA
29,UCEC
30,UNCLASSIFIED
31,mol1 mol2 mol1 mol1 mol2 mol2 mol1 mol2
32,mol1 mol6 mol1 mol1 mol6
33,mol2 mol2 mol1 mol2 mol6 mol1 mol1 mol1
34,mol1 mol6 mol1 mol2 mol1 mol2
35,mol1 mol1 mol1 mol7 mol4 mol6 mol1 mol1
36,mol1 mol1 mol1 mol2 mol1 mol6 mol6 mol1
37,mol1 mol1 mol5 mol2 mol2 mol6
38,mol2 mol2 mol2 mol8 mol2 mol2 mol2
39,mol1 mol4 mol1 mol2 mol1 mol6
40,mol1 mol1 mol1 mol3 mol1 mol1 mol2 mol6
41,mol1 mol2 mol1 mol6 mol1 mol1 mol6
42,mol1 mol6 mol6 mol1
43,mol1 mol1 mol4 mol4
44,mol2 mol2 mol1 mol2 mol6
45,mol1 mol6 mol1 mol2 mol2 mol1 mol1
46,mol1 mol7 mol4 mol6 mol1 mol1
47,mol6 mol6 mol1 mol2 mol1 mol2 mol2
48,mol5 mol1 mol1 mol6 mol6 mol1 mol1
49,mol6 mol6 mol2 mol1
50,mol1 mol4 mol4 mol6
51,mol1 mol2 mol1 mol2 mol6
52,mol1 mol6 mol1 mol1 mol6 mol1 mol1 mol6
53,mol1 mol1 mol1 mol1 mol4 mol1 mol1
54,mol2 mol6 mol4
55,mol2 mol1 mol1 mol6 mol1 mol6
56,mol1 mol1 mol6 mol2 mol1 mol2 mol6
57,mol8 mol2 mol2 mol1
58,mol1 mol2 mol2 mol6 mol2
59,mol1 mol1 mol1 mol5 mol5 mol1 mol1
60,mol2 mol1 mol2 mol2 mol1 mol1 mol1
61,mol1 mol6 mol2 mol2 mol1 mol1 mol1
62,mol1 mol2 mol1 mol6 mol1 mol2 mol1 mol6
63,mol1 mol5 mol1 mol2 mol1 mol1
64,mol1 mol2 mol1 mol2 mol1 mol1 mol2 mol6
65,mol6 mol1 mol1 mol1 mol1 mol4 mol4 mol4
66,mol1 mol1 mol1 mol1 mol1 mol4 mol4 mol6
67,mol5 mol1 mol1 mol6 mol6
68,mol1 mol6 mol1 mol1 mol6 mol1 mol2 mol1
69,mol1 mol6 mol1 mol6 mol6 mol1
70,mol2 mol1 mol1 mol1 mol6 mol1 mol1 mol1
71,mol6 mol1 mol6 mol5
72,mol1 mol1 mol6 mol1 mol1 mol6 mol6 mol1
73,mol6 mol6 mol1 mol1 mol1
74,mol1 mol1 mol6 mol1 mol1 mol1 mol2 mol6
75,mol1 mol5 mol2 mol2 mol1 mol1 mol1
76,mol1 mol4 mol4 mol1 mol2 mol6
77,mol1 mol1 mol1 mol1 mol7 mol4 mol6 mol1
78,mol1 mol1 mol1 mol2 mol1 mol2 mol1 mol1
79,mol3 mol1 mol1
80,mol1 mol2 mol1 mol6 mol1 mol6 mol1 mol1
81,mol5 mol2 mol2 mol1 mol1 mol1 mol1
82,mol6 mol2 mol1 mol1 mol1
83,mol4 mol1 mol1 mol1 mol1 mol1
84,mol2 mol2 mol2 mol8 mol2 mol2
85,mol2 mol2 mol6 mol1 mol1 mol6 mol1
86,mol1 mol1 mol2 mol2
87,mol2 mol1 mol1 mol1 mol1 mol5 mol2
88,mol1 mol1 mol1 mol1 mol2 mol2 mol2 mol6
89,mol1 mol1 mol2 mol6 mol2 mol1
90,mol1 mol7 mol4 mol1 mol2 mol6 mol1
91,mol1 mol6 mol6 mol1 mol1 mol4
92,mol1 mol1 mol6 mol1 mol1 mol1 mol6
93,mol1 mol1 mol1 mol1 mol1 mol4 mol2
94,mol1 mol1 mol1 mol2 mol2 mol2 mol2
95,mol1 mol1 mol6 mol1 mol1 mol5 mol1
96,mol6 mol6 mol1 mol1 mol1 mol5 mol1 mol1
97,mol1 mol1 mol1 mol4 mol4 mol4 mol4 mol4
98,mol1 mol1 mol1 mol2 mol1 mol2 mol3
99,mol2 mol1 mol2 mol6 mol1 mol1
100,mol5 mol1 mol6 mol6
101,mol6 mol1 mol1 mol2 mol6 mol1 mol1 mol2
102,mol1 mol2 mol6 mol2 mol1 mol1 mol1
103,mol1 mol1 mol6 mol6 mol1 mol1
104,mol1 mol1 mol1 mol6 mol1 mol1 mol4 mol1
105,mol1 mol1 mol2 mol8 mol2 mol2 mol2 mol8
106,mol6 mol1 mol2 mol1 mol6
107,mol1 mol6 mol1 mol1 mol2 mol8
108,mol2 mol2 mol1 mol2 mol6 mol1 mol1
109,mol1 mol6 mol1 mol6 mol2 mol2
110,mol1 mol2 mol1 mol1 mol1 mol1 mol1 mol1
111,mol2 mol1 mol2 mol1 mol6 mol1 mol6 mol1
112,mol2 mol6 mol1 mol1 mol1
