Name,Score,ScoreClass
mol1,896.059519166173,class12
mol2,1698.5785171199702,class13
mol3,1225.1877734782227,class12
mol4,1715.3513477900583,class13
mol5,1368.36077709048,class12
mol6,3860.7429172045854,class13
mol7,594.4842287555646,class12
mol8,482.47725165147335,class11
mol1 mol1,615.2887426144531,class12
mol1 mol2,4106.685478810307,class13
mol1 mol3,165.53510265780173,class10
mol1 mol4,2614.0799361655536,class13
mol1 mol5,478.07855737442213,class11
mol1 mol6,2145.373214057895,class13
mol1 mol7,603.0738446936222,class12
mol1 mol8,37.938739593966034,class4
mol2 mol1,7607.965047792,class13
mol2 mol2,21.559568873006242,class3
mol2 mol3,523.9659127065771,class12
mol2 mol4,0.10175376373099289,class1
mol2 mol5,37.99382324382479,class4
mol2 mol6,506.9029732435809,class12
mol2 mol8,392.17752818546006,class11
mol3 mol1,447.980581848747,class11
mol3 mol5,150.0468747064199,class10
mol4 mol1,179.5181137208916,class10
mol4 mol2,230.4976780248331,class10
mol4 mol4,601.4606718938799,class12
mol4 mol6,49.94005658604939,class5
mol5 mol1,473.1532960915798,class11
mol5 mol2,957.0045032433227,class12
mol5 mol5,231.79062252587883,class10
mol5 mol6,24.359568460831085,class3
mol6 mol1,1242.7600715756093,class12
mol6 mol2,561.3394659100056,class12
mol6 mol3,18.57225743190333,class2
mol6 mol4,274.2865157353957,class10
mol6 mol5,929.6577237635244,class12
mol6 mol6,1063.2001204619248,class12
mol6 mol8,473.7432916577821,class11
mol7 mol4,603.0738446936222,class12
mol8 mol1,37.938739593966034,class4
mol8 mol2,331.7128234834403,class11
mol1 mol1 mol1,657.9571436362089,class12
mol1 mol1 mol2,1591.047019629264,class13
mol1 mol1 mol3,248.3152946857933,class10
mol1 mol1 mol4,2549.1718528829015,class13
mol1 mol1 mol5,581.6869208614007,class12
mol1 mol1 mol6,466.63943670408685,class11
mol1 mol1 mol7,602.5842907973301,class12
mol1 mol2 mol1,6901.910333069852,class13
mol1 mol2 mol2,2073.408385245967,class13
mol1 mol2 mol3,523.9659127065771,class12
mol1 mol2 mol4,13.76805912940264,class2
mol1 mol2 mol5,29.292378520727745,class3
mol1 mol2 mol6,393.0743927566921,class11
mol1 mol2 mol8,98.23811625856825,class8
mol1 mol3 mol1,107.6179906115039,class9
mol1 mol3 mol5,150.04687470642,class10
mol1 mol4 mol1,674.9884746047434,class12
mol1 mol4 mol2,212.72102775497845,class10
mol1 mol4 mol4,779.5606581285349,class12
mol1 mol4 mol6,0.16418224692950606,class1
mol1 mol5 mol1,285.381976638185,class10
mol1 mol5 mol2,217.96357059619814,class10
mol1 mol5 mol5,232.41971096781833,class10
mol1 mol5 mol6,25.866545718689412,class3
mol1 mol6 mol1,391.66064043023545,class11
mol1 mol6 mol2,1063.7540552737937,class12
mol1 mol6 mol3,18.572257431903346,class2
mol1 mol6 mol4,11.194100584416526,class2
mol1 mol6 mol5,1152.0169929292374,class12
mol1 mol6 mol6,1752.73209756927,class13
mol1 mol6 mol8,473.74329165778244,class11
mol1 mol7 mol4,602.5842907973301,class12
mol1 mol8 mol1,37.938739593966055,class4
mol2 mol1 mol1,3379.5020053883923,class13
mol2 mol1 mol2,5380.575510983534,class13
mol2 mol1 mol4,30.97532235852146,class4
mol2 mol1 mol5,3.9386578707676025,class1
mol2 mol1 mol6,75.27928205622764,class7
mol2 mol2 mol1,500.44148097152873,class12
mol2 mol2 mol2,126.21361554134992,class9
mol2 mol2 mol4,90.054511128784,class8
mol2 mol2 mol6,54.97881782904098,class6
mol2 mol2 mol8,490.3089143498333,class11
mol2 mol4 mol1,13.76805912940264,class2
mol2 mol4 mol4,578.083458331048,class12
mol2 mol4 mol6,284.2676330111773,class10
mol2 mol5 mol1,13.058896282473652,class2
mol2 mol5 mol2,159.45747291670395,class10
mol2 mol5 mol6,462.4468653251666,class11
mol2 mol6 mol1,82.49927046264224,class8
mol2 mol6 mol2,84.9230975484549,class8
mol2 mol6 mol4,317.92487000976035,class11
mol2 mol6 mol5,0.27167620010652116,class1
mol2 mol8 mol2,98.23811625856825,class8
mol3 mol1 mol1,331.6251186050956,class11
mol3 mol5 mol2,150.04687470642,class10
mol4 mol1 mol1,173.23721522073896,class10
mol4 mol1 mol2,47.974983211253075,class5
mol4 mol1 mol6,0.14291455662787772,class1
mol4 mol2 mol1,25.454549634931585,class3
mol4 mol2 mol4,436.5471104789036,class11
mol4 mol4 mol1,77.02733199867279,class7
mol4 mol4 mol4,1000.1430299817529,class12
mol4 mol4 mol6,35.83629455910386,class4
mol4 mol6 mol1,43.129763679438994,class5
mol4 mol6 mol2,230.22879630362905,class10
mol4 mol6 mol6,132.16841219339435,class9
mol5 mol1 mol1,127.57378335324937,class9
mol5 mol1 mol2,334.0886679172232,class11
mol5 mol1 mol6,307.26989462206353,class11
mol5 mol2 mol1,176.53130822322422,class10
mol5 mol2 mol2,582.4259682032491,class12
mol5 mol5 mol1,230.22879630362905,class10
mol5 mol5 mol6,2.4859843207559056,class1
mol5 mol6 mol1,14.18365059074448,class2
mol5 mol6 mol2,8.970804076543324,class1
mol6 mol1 mol1,1162.9456951954367,class12
mol6 mol1 mol2,434.68954096442343,class11
mol6 mol1 mol3,2813.0865943642684,class13
mol6 mol1 mol4,250.79475501741138,class10
mol6 mol1 mol5,0.4792914633027087,class1
mol6 mol1 mol6,1821.1620649597558,class13
mol6 mol1 mol8,37.938739593966055,class4
mol6 mol2 mol1,3.9071822974095527,class1
mol6 mol2 mol2,739.2573815942688,class12
mol6 mol2 mol6,1.3291057919313445,class1
mol6 mol3 mol1,18.572257431903346,class2
mol6 mol5 mol1,5.641873284736082,class1
mol6 mol5 mol2,961.7820424998226,class12
mol6 mol6 mol1,1174.8260552616364,class12
mol6 mol6 mol2,71.11319064019976,class7
mol6 mol6 mol6,7.05084319125433,class1
mol6 mol8 mol2,473.74329165778244,class11
mol7 mol4 mol1,315.9977519760007,class11
mol7 mol4 mol6,310.2544584544734,class11
mol8 mol2 mol2,343.7710281436825,class11
mol1 mol1 mol1 mol1,1149.589598236672,class12
mol1 mol1 mol1 mol2,231.52379837790903,class10
mol1 mol1 mol1 mol3,250.37338947422379,class10
mol1 mol1 mol1 mol4,1733.8138563964762,class13
mol1 mol1 mol1 mol5,88.88784282207878,class8
mol1 mol1 mol1 mol6,171.16584263653542,class10
mol1 mol1 mol1 mol7,602.3700518260896,class12
mol1 mol1 mol2 mol1,2086.7755085402655,class13
mol1 mol1 mol2 mol2,2131.822830245133,class13
mol1 mol1 mol2 mol5,13.058896282473652,class2
mol1 mol1 mol2 mol6,71.21195033045535,class7
mol1 mol1 mol2 mol8,98.23811625856837,class8
mol1 mol1 mol3 mol1,107.6179906115039,class9
mol1 mol1 mol3 mol5,150.0468747064199,class10
mol1 mol1 mol4 mol1,634.1055883279669,class12
mol1 mol1 mol4 mol2,174.31529651552543,class10
mol1 mol1 mol4 mol4,776.1232272248395,class12
mol1 mol1 mol4 mol6,0.7469844849632826,class1
mol1 mol1 mol5 mol1,246.56609414293933,class10
mol1 mol1 mol5 mol2,218.8404724471836,class10
mol1 mol1 mol5 mol5,232.6166581605255,class10
mol1 mol1 mol5 mol6,8.970804076543324,class1
mol1 mol1 mol6 mol1,76.28724414114234,class7
mol1 mol1 mol6 mol2,1135.9643034888015,class12
mol1 mol1 mol6 mol5,808.8882108408735,class12
mol1 mol1 mol6 mol6,1116.8650280368706,class12
mol1 mol1 mol6 mol8,473.7432916577821,class11
mol1 mol1 mol7 mol4,602.3700518260896,class12
mol1 mol2 mol1 mol1,3125.215175717481,class13
mol1 mol2 mol1 mol2,3346.7482749314786,class13
mol1 mol2 mol1 mol5,3.9386578707676025,class1
mol1 mol2 mol1 mol6,400.41160155669695,class11
mol1 mol2 mol2 mol1,2181.1862475442736,class13
mol1 mol2 mol2 mol2,167.01732096646336,class10
mol1 mol2 mol2 mol4,578.0834583310482,class12
mol1 mol2 mol2 mol6,252.52035007964108,class10
mol1 mol2 mol4 mol1,13.768059129402632,class2
mol1 mol2 mol5 mol1,13.058896282473652,class2
mol1 mol2 mol5 mol2,159.45747291670395,class10
mol1 mol2 mol5 mol6,462.4468653251666,class11
mol1 mol2 mol6 mol1,67.01171110801344,class7
mol1 mol2 mol6 mol2,6.132675284611705,class1
mol1 mol2 mol6 mol4,317.92487000976035,class11
mol1 mol2 mol6 mol5,53.575342154328034,class6
mol1 mol2 mol8 mol2,98.23811625856837,class8
mol1 mol3 mol1 mol1,107.6179906115039,class9
mol1 mol3 mol5 mol2,150.0468747064199,class10
mol1 mol4 mol1 mol1,332.3067761733329,class11
mol1 mol4 mol1 mol2,551.7709258274458,class12
mol1 mol4 mol1 mol6,17.348908099660704,class2
mol1 mol4 mol2 mol1,21.181825483778802,class3
mol1 mol4 mol2 mol4,436.5471104789036,class11
mol1 mol4 mol4 mol1,54.719699673734866,class6
mol1 mol4 mol4 mol4,932.2625411563203,class12
mol1 mol4 mol4 mol6,230.22879630362905,class10
mol1 mol4 mol6 mol1,0.7469844849632826,class1
mol1 mol5 mol1 mol1,12.907683931074247,class2
mol1 mol5 mol1 mol2,334.08866791722306,class11
mol1 mol5 mol1 mol6,296.2767871508351,class10
mol1 mol5 mol2 mol1,176.53130822322413,class10
mol1 mol5 mol2 mol2,143.58021887273512,class9
mol1 mol5 mol5 mol1,230.22879630362905,class10
mol1 mol5 mol5 mol6,2.4859843207559056,class1
mol1 mol5 mol6 mol1,17.91339384672316,class2
mol1 mol5 mol6 mol2,8.970804076543324,class1
mol1 mol6 mol1 mol1,946.1160320156532,class12
mol1 mol6 mol1 mol2,2498.990543613299,class13
mol1 mol6 mol1 mol3,2813.0865943642684,class13
mol1 mol6 mol1 mol4,250.79475501741138,class10
mol1 mol6 mol1 mol5,17.91339384672316,class2
mol1 mol6 mol1 mol6,1636.168700517373,class13
mol1 mol6 mol2 mol1,36.64569713470232,class4
mol1 mol6 mol2 mol2,725.9647877818445,class12
mol1 mol6 mol2 mol6,1.3291057919313451,class1
mol1 mol6 mol3 mol1,18.572257431903342,class2
mol1 mol6 mol5 mol1,5.641873284736082,class1
mol1 mol6 mol5 mol2,1155.3959201665125,class12
mol1 mol6 mol6 mol1,1667.5866758283714,class13
mol1 mol6 mol6 mol2,71.11319064019982,class7
mol1 mol6 mol6 mol6,6.614743781911947,class1
mol1 mol6 mol8 mol2,473.7432916577821,class11
mol1 mol7 mol4 mol1,315.99775197600087,class11
mol1 mol7 mol4 mol6,310.25445845447354,class11
mol2 mol1 mol1 mol1,4394.945705150483,class13
mol2 mol1 mol1 mol2,658.2058376267729,class12
mol2 mol1 mol1 mol5,200.41713431301125,class10
mol2 mol1 mol1 mol6,199.3877995025123,class10
mol2 mol1 mol2 mol1,6860.642465465694,class13
mol2 mol1 mol2 mol2,29.363951120281754,class3
mol2 mol1 mol2 mol3,523.9659127065771,class12
mol2 mol1 mol2 mol5,159.45747291670395,class10
mol2 mol1 mol2 mol6,190.10583394489169,class10
mol2 mol1 mol4 mol4,30.975322358521538,class4
mol2 mol1 mol5 mol1,3.9386578707676025,class1
mol2 mol1 mol6 mol1,88.13674207659577,class8
mol2 mol1 mol6 mol2,1415.8650096035003,class12
mol2 mol1 mol6 mol6,153.01974327709632,class10
mol2 mol2 mol1 mol1,85.33367120960426,class8
mol2 mol2 mol1 mol2,5616.15592598045,class13
mol2 mol2 mol1 mol4,30.975322358521538,class4
mol2 mol2 mol1 mol6,920.2218815407864,class12
mol2 mol2 mol2 mol1,3604.213097973508,class13
mol2 mol2 mol2 mol2,520.2598554871496,class12
mol2 mol2 mol2 mol4,284.2676330111774,class10
mol2 mol2 mol2 mol6,295.6458441841597,class10
mol2 mol2 mol2 mol8,493.0962557647,class11
mol2 mol2 mol4 mol4,578.0834583310482,class12
mol2 mol2 mol4 mol6,284.2676330111774,class10
mol2 mol2 mol6 mol1,2.1375657825794065,class1
mol2 mol2 mol6 mol2,793.8167807489333,class12
mol2 mol2 mol6 mol5,13.058896282473652,class2
mol2 mol2 mol8 mol2,98.23811625856837,class8
mol2 mol4 mol1 mol1,13.768059129402632,class2
mol2 mol5 mol1 mol1,13.058896282473652,class2
mol2 mol5 mol2 mol2,159.45747291670395,class10
mol2 mol6 mol1 mol1,0.20912375768598906,class1
mol2 mol6 mol1 mol2,0.7066956324887916,class1
mol2 mol6 mol1 mol6,154.02912024643828,class10
mol2 mol6 mol2 mol1,35.861717780991945,class4
mol2 mol6 mol5 mol2,0.48645690404332276,class1
mol2 mol8 mol2 mol2,98.23811625856837,class8
mol3 mol1 mol1 mol1,825.4252366022072,class12
mol3 mol1 mol1 mol2,107.6179906115039,class9
mol3 mol5 mol2 mol2,150.0468747064199,class10
mol4 mol1 mol1 mol1,184.29760278923362,class10
mol4 mol1 mol2 mol1,305.2607936586357,class11
mol4 mol1 mol2 mol6,147.54230655311846,class9
mol4 mol1 mol6 mol1,1.8779180516390686,class1
mol4 mol1 mol6 mol4,11.194100584416528,class2
mol4 mol2 mol1 mol1,1.705587890782087,class1
mol4 mol2 mol1 mol6,7.271267526014531,class1
mol4 mol4 mol1 mol1,30.975322358521538,class4
mol4 mol4 mol1 mol2,310.25445845447354,class11
mol4 mol4 mol1 mol6,16.03028538221607,class2
mol4 mol4 mol4 mol1,30.975322358521538,class4
mol4 mol4 mol4 mol4,176.53130822322413,class10
mol4 mol4 mol4 mol6,45.819951615523365,class5
mol4 mol4 mol6 mol1,52.25673044707486,class6
mol4 mol4 mol6 mol2,230.22879630362905,class10
mol4 mol4 mol6 mol6,132.16841219339435,class9
mol4 mol6 mol1 mol1,6.936385675957335,class1
mol4 mol6 mol1 mol2,387.9389568437685,class11
mol4 mol6 mol2 mol2,230.22879630362905,class10
mol4 mol6 mol6 mol1,132.16841219339435,class9
mol5 mol1 mol1 mol1,117.5581453708934,class9
mol5 mol1 mol1 mol2,13.058896282473652,class2
mol5 mol1 mol1 mol6,0.011775846326079503,class1
mol5 mol1 mol2 mol1,334.08866791722306,class11
mol5 mol1 mol6 mol1,217.35674024865415,class10
mol5 mol1 mol6 mol6,75.45040064717053,class7
mol5 mol2 mol1 mol1,176.53130822322413,class10
mol5 mol2 mol2 mol1,937.6845140589878,class12
mol5 mol2 mol2 mol2,71.11319064019982,class7
mol5 mol2 mol2 mol6,36.50451096565426,class4
mol5 mol5 mol1 mol1,230.22879630362905,class10
mol5 mol5 mol6 mol1,2.4859843207559056,class1
mol5 mol6 mol1 mol1,67.51070717497316,class7
mol5 mol6 mol1 mol2,3.9386578707676025,class1
mol5 mol6 mol2 mol1,8.970804076543324,class1
mol6 mol1 mol1 mol1,1667.8696099127028,class13
mol6 mol1 mol1 mol2,3241.7054646041297,class13
mol6 mol1 mol1 mol4,749.2938711519017,class12
mol6 mol1 mol1 mol5,863.8373410502116,class12
mol6 mol1 mol1 mol6,634.8733823483288,class12
mol6 mol1 mol2 mol1,3265.376566238497,class13
mol6 mol1 mol2 mol2,978.9968600282217,class12
mol6 mol1 mol2 mol4,13.768059129402614,class2
mol6 mol1 mol2 mol5,462.4468653251666,class11
mol6 mol1 mol2 mol6,598.1595394183968,class12
mol6 mol1 mol5 mol1,96.702995934955,class8
mol6 mol1 mol5 mol6,17.91339384672316,class2
mol6 mol1 mol6 mol1,965.6465692951421,class12
mol6 mol1 mol6 mol2,1110.6762562258773,class12
mol6 mol1 mol6 mol3,18.572257431903342,class2
mol6 mol1 mol6 mol5,334.88624924595547,class11
mol6 mol1 mol6 mol6,216.9071128966295,class10
mol6 mol1 mol8 mol1,37.938739593966034,class4
mol6 mol2 mol1 mol1,156.06289005445518,class10
mol6 mol2 mol1 mol2,370.02333630620836,class11
mol6 mol2 mol2 mol1,641.5706445470802,class12
mol6 mol2 mol2 mol2,22.448275328170762,class3
mol6 mol2 mol6 mol1,1.3291057919313451,class1
mol6 mol3 mol1 mol1,18.572257431903342,class2
mol6 mol5 mol1 mol1,5.641873284736082,class1
mol6 mol5 mol2 mol2,634.8353406109901,class12
mol6 mol6 mol1 mol1,559.6400680579675,class12
mol6 mol6 mol1 mol2,1118.6247752683576,class12
mol6 mol6 mol1 mol5,96.702995934955,class8
mol6 mol6 mol1 mol6,3.258552480438556,class1
mol6 mol6 mol1 mol8,37.938739593966034,class4
mol6 mol6 mol2 mol1,71.11319064019982,class7
mol6 mol6 mol6 mol1,6.614743781911947,class1
mol6 mol8 mol2 mol2,473.7432916577821,class11
mol7 mol4 mol1 mol2,315.99775197600087,class11
mol7 mol4 mol6 mol1,310.25445845447354,class11
mol8 mol2 mol2 mol1,473.7432916577821,class11
mol8 mol2 mol2 mol2,98.23811625856837,class8
mol1 mol1 mol1 mol1 mol1,899.9591068688632,class12
mol1 mol1 mol1 mol1 mol2,1427.350988245781,class12
mol1 mol1 mol1 mol1 mol3,253.13069038311792,class10
mol1 mol1 mol1 mol1 mol4,1734.0220085032897,class13
mol1 mol1 mol1 mol1 mol5,0.7542806607524566,class1
mol1 mol1 mol1 mol1 mol6,171.02719380671644,class10
mol1 mol1 mol1 mol1 mol7,612.9339991586934,class12
mol1 mol1 mol1 mol2 mol1,894.9269578876526,class12
mol1 mol1 mol1 mol2 mol2,625.6333667066117,class12
mol1 mol1 mol1 mol2 mol5,13.058896282473643,class2
mol1 mol1 mol1 mol2 mol6,208.1515416925712,class10
mol1 mol1 mol1 mol3 mol1,107.6179906115039,class9
